year,category,prize,motivation,prize_share,laureate_id,laureate_type,full_name,birth_date,birth_city,birth_country,n_birth_country,sex,organization_name,organization_city,organization_country,death_date,death_city,death_country,n_death_country,religion
1934,Medicine,The Nobel Prize in Physiology or Medicine 1934,"""for their discoveries concerning liver therapy in cases of anaemia""",1.מרץ,327,Individual,George Richards Minot,1885-12-02,"Boston, MA",United States of America,United States of America,Male,Harvard University,"Cambridge, MA",United States of America,25.2.1950,"Brookline, MA",United States of America,United States of America,
1934,Medicine,The Nobel Prize in Physiology or Medicine 1934,"""for their discoveries concerning liver therapy in cases of anaemia""",1.מרץ,328,Individual,William Parry Murphy,1892-02-06,"Stoughton, WI",United States of America,United States of America,Male,Harvard University,"Cambridge, MA",United States of America,9.10.1987,"Brookline, MA",United States of America,United States of America,
1935,Medicine,The Nobel Prize in Physiology or Medicine 1935,"""for his discovery of the organizer effect in embryonic development""",1.ינו׳,329,Individual,Hans Spemann,1869-06-27,Stuttgart,W&uuml;rttemberg (Germany),Germany,Male,University of Freiburg im Breisgau,Breisgau,Germany,12.9.1941,Freiburg im Breisgau,Germany,Germany,
1936,Medicine,The Nobel Prize in Physiology or Medicine 1936,"""for their discoveries relating to chemical transmission of nerve impulses""",1.פבר׳,330,Individual,Sir Henry Hallett Dale,1875-06-09,London,United Kingdom,United Kingdom,Male,National Institute for Medical Research,London,United Kingdom,23.7.1968,Cambridge,United Kingdom,United Kingdom,
1936,Medicine,The Nobel Prize in Physiology or Medicine 1936,"""for their discoveries relating to chemical transmission of nerve impulses""",1.פבר׳,331,Individual,Otto Loewi,1873-06-03,Frankfurt-on-the-Main,Germany,Germany,Male,Graz University,Graz,Austria,25.12.1961,"New York, NY",United States of America,United States of America,
1937,Medicine,The Nobel Prize in Physiology or Medicine 1937,"""for his discoveries in connection with the biological combustion processes, with special reference to vitamin C and the catalysis of fumaric acid""",1.ינו׳,332,Individual,Albert von Szent-Györgyi Nagyrápolt,1893-09-16,Budapest,Austria-Hungary (Hungary),Hungary,Male,Szeged University,Szeged,Hungary,22.10.1986,"Woods Hole, MA",United States of America,United States of America,
1938,Medicine,The Nobel Prize in Physiology or Medicine 1938,"""for the discovery of the role played by the sinus and aortic mechanisms in the regulation of respiration""",1.ינו׳,333,Individual,Corneille Jean François Heymans,1892-03-28,Ghent,Belgium,Belgium,Male,Ghent University,Ghent,Belgium,18.7.1968,Knokke,Belgium,Belgium,
1939,Medicine,The Nobel Prize in Physiology or Medicine 1939,"""for the discovery of the antibacterial effects of prontosil""",1.ינו׳,334,Individual,Gerhard Domagk,1895-10-30,Lagow,Germany (Poland),Poland,Male,Munster University,Munster,Germany,24.4.1964,Burgberg,West Germany (Germany),Germany,
1943,Medicine,The Nobel Prize in Physiology or Medicine 1943,"""for his discovery of vitamin K""",1.פבר׳,335,Individual,Henrik Carl Peter Dam,1895-02-21,Copenhagen,Denmark,Denmark,Male,Polytechnic Institute,Copenhagen,Denmark,17.4.1976,Copenhagen,Denmark,Denmark,
1943,Medicine,The Nobel Prize in Physiology or Medicine 1943,"""for his discovery of the chemical nature of vitamin K""",1.פבר׳,336,Individual,Edward Adelbert Doisy,1893-11-13,"Hume, IL",United States of America,United States of America,Male,Saint Louis University,"St. Louis, MO",United States of America,23.10.1986,"St. Louis, MO",United States of America,United States of America,
1944,Medicine,The Nobel Prize in Physiology or Medicine 1944,"""for their discoveries relating to the highly differentiated functions of single nerve fibres""",1.פבר׳,337,Individual,Joseph Erlanger,1874-01-05,"San Francisco, CA",United States of America,United States of America,Male,Washington University,"St. Louis, MO",United States of America,5.12.1965,"St. Louis, MO",United States of America,United States of America,
1944,Medicine,The Nobel Prize in Physiology or Medicine 1944,"""for their discoveries relating to the highly differentiated functions of single nerve fibres""",1.פבר׳,338,Individual,Herbert Spencer Gasser,1888-07-05,"Platteville, WI",United States of America,United States of America,Male,Rockefeller Institute for Medical Research,"New York, NY",United States of America,11.5.1963,"New York, NY",United States of America,United States of America,
1945,Medicine,The Nobel Prize in Physiology or Medicine 1945,"""for the discovery of penicillin and its curative effect in various infectious diseases""",1.מרץ,340,Individual,Ernst Boris Chain,19.6.1906,Berlin,Germany,Germany,Male,University of Oxford,Oxford,United Kingdom,12.8.1979,Mulrany,Ireland,Ireland,
1945,Medicine,The Nobel Prize in Physiology or Medicine 1945,"""for the discovery of penicillin and its curative effect in various infectious diseases""",1.מרץ,341,Individual,Sir Howard Walter Florey,1898-09-24,Adelaide,Australia,Australia,Male,University of Oxford,Oxford,United Kingdom,21.2.1968,Oxford,United Kingdom,United Kingdom,
1945,Medicine,The Nobel Prize in Physiology or Medicine 1945,"""for the discovery of penicillin and its curative effect in various infectious diseases""",1.מרץ,339,Individual,Sir Alexander Fleming,1881-08-06,Lochfield,Scotland,Scotland,Male,London University,London,United Kingdom,11.3.1955,London,United Kingdom,United Kingdom,
1946,Medicine,The Nobel Prize in Physiology or Medicine 1946,"""for the discovery of the production of mutations by means of X-ray irradiation""",1.ינו׳,342,Individual,Hermann Joseph Muller,1890-12-21,"New York, NY",United States of America,United States of America,Male,Indiana University,"Bloomington, IN",United States of America,5.4.1967,NA,NA,NA,
1947,Medicine,The Nobel Prize in Physiology or Medicine 1947,"""for his discovery of the part played by the hormone of the anterior pituitary lobe in the metabolism of sugar""",1.פבר׳,345,Individual,Bernardo Alberto Houssay,1887-04-10,Buenos Aires,Argentina,Argentina,Male,Instituto de Biologia y Medicina Experimental (Institute for Biology and Experimental Medicine),Buenos Aires,Argentina,21.9.1971,Buenos Aires,Argentina,Argentina,
1947,Medicine,The Nobel Prize in Physiology or Medicine 1947,"""for their discovery of the course of the catalytic conversion of glycogen""",1.אפר׳,343,Individual,Carl Ferdinand Cori,1896-12-05,Prague,Austria-Hungary (Czech Republic),Czech Republic,Male,Washington University,"St. Louis, MO",United States of America,20.10.1984,"Cambridge, MA",United States of America,United States of America,
1947,Medicine,The Nobel Prize in Physiology or Medicine 1947,"""for their discovery of the course of the catalytic conversion of glycogen""",1.אפר׳,344,Individual,"Gerty Theresa Cori, née Radnitz",1896-08-15,Prague,Austria-Hungary (Czech Republic),Czech Republic,Female,Washington University,"St. Louis, MO",United States of America,26.10.1957,"St. Louis, MO",United States of America,United States of America,
1948,Medicine,The Nobel Prize in Physiology or Medicine 1948,"""for his discovery of the high efficiency of DDT as a contact poison against several arthropods""",1.ינו׳,346,Individual,Paul Hermann Müller,1899-01-12,Olten,Switzerland,Switzerland,Male,Laboratorium der Farben-Fabriken J.R. Geigy A.G. (Laboratory of the J.R. Geigy Dye-Factory Co.),Basel,Switzerland,12.10.1965,Basel,Switzerland,Switzerland,
1949,Medicine,The Nobel Prize in Physiology or Medicine 1949,"""for his discovery of the therapeutic value of leucotomy in certain psychoses""",1.פבר׳,348,Individual,Antonio Caetano de Abreu Freire Egas Moniz,1874-11-29,Avanca,Portugal,Portugal,Male,University of Lisbon,Lisbon,Portugal,13.12.1955,Lisbon,Portugal,Portugal,
1949,Medicine,The Nobel Prize in Physiology or Medicine 1949,"""for his discovery of the functional organization of the interbrain as a coordinator of the activities of the internal organs""",1.פבר׳,347,Individual,Walter Rudolf Hess,1881-03-17,Frauenfeld,Switzerland,Switzerland,Male,University of Zurich,Zurich,Switzerland,12.8.1973,Ascona,Switzerland,Switzerland,
1950,Medicine,The Nobel Prize in Physiology or Medicine 1950,"""for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects""",1.מרץ,351,Individual,Philip Showalter Hench,1896-02-28,"Pittsburgh, PA",United States of America,United States of America,Male,Mayo Clinic,"Rochester, MN",United States of America,30.3.1965,Ocho Rios,Jamaica,Jamaica,
1950,Medicine,The Nobel Prize in Physiology or Medicine 1950,"""for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects""",1.מרץ,350,Individual,Tadeus Reichstein,1897-07-20,Wloclawek,Poland,Poland,Male,Basel University,Basel,Switzerland,1.8.1996,Basel,Switzerland,Switzerland,
1950,Medicine,The Nobel Prize in Physiology or Medicine 1950,"""for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects""",1.מרץ,349,Individual,Edward Calvin Kendall,1886-03-08,"South Norwalk, CT",United States of America,United States of America,Male,Mayo Clinic,"Rochester, MN",United States of America,4.5.1972,"Princeton, NJ",United States of America,United States of America,
1951,Medicine,The Nobel Prize in Physiology or Medicine 1951,"""for his discoveries concerning yellow fever and how to combat it""",1.ינו׳,352,Individual,Max Theiler,1899-01-30,Pretoria,South Africa,South Africa,Male,"Laboratories of the Division of Medicine and Public Health, Rockefeller Foundation","New York, NY",United States of America,11.8.1972,"New Haven, CT",United States of America,United States of America,
1952,Medicine,The Nobel Prize in Physiology or Medicine 1952,"""for his discovery of streptomycin, the first antibiotic effective against tuberculosis""",1.ינו׳,353,Individual,Selman Abraham Waksman,1888-07-22,Priluka (Nova Pryluka),Russian Empire (Ukraine),Ukraine,Male,Rutgers University,"New Brunswick, NJ",United States of America,16.8.1973,"Hyannis, MA",United States of America,United States of America,
1953,Medicine,The Nobel Prize in Physiology or Medicine 1953,"""for his discovery of the citric acid cycle""",1.פבר׳,354,Individual,Hans Adolf Krebs,25.8.1900,Hildesheim,Germany,Germany,Male,Sheffield University,Sheffield,United Kingdom,22.11.1981,Oxford,United Kingdom,United Kingdom,
1953,Medicine,The Nobel Prize in Physiology or Medicine 1953,"""for his discovery of co-enzyme A and its importance for intermediary metabolism""",1.פבר׳,355,Individual,Fritz Albert Lipmann,1899-06-12,Koenigsberg (Kaliningrad),Germany (Russia),Russia,Male,Harvard Medical School,"Boston, MA",United States of America,24.7.1986,"Poughkeepsie, NY",United States of America,United States of America,
1954,Medicine,The Nobel Prize in Physiology or Medicine 1954,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",1.מרץ,356,Individual,John Franklin Enders,1897-02-10,"West Hartford, CT",United States of America,United States of America,Male,Harvard Medical School,"Boston, MA",United States of America,8.9.1985,"Waterford, CT",United States of America,United States of America,
1954,Medicine,The Nobel Prize in Physiology or Medicine 1954,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",1.מרץ,357,Individual,Thomas Huckle Weller,15.6.1915,"Ann Arbor, MI",United States of America,United States of America,Male,"Research Division of Infectious Diseases, Children's Medical Center","Boston, MA",United States of America,23.8.2008,"Needham, MA",United States of America,United States of America,
1954,Medicine,The Nobel Prize in Physiology or Medicine 1954,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",1.מרץ,358,Individual,Frederick Chapman Robbins,25.8.1916,"Auburn, AL",United States of America,United States of America,Male,Western Reserve University,"Cleveland, OH",United States of America,4.8.2003,"Cleveland, OH",United States of America,United States of America,
1955,Medicine,The Nobel Prize in Physiology or Medicine 1955,"""for his discoveries concerning the nature and mode of action of oxidation enzymes""",1.ינו׳,359,Individual,Axel Hugo Theodor Theorell,6.7.1903,Linköping,Sweden,Sweden,Male,"Karolinska Institutet, Nobel Medical Institute",Stockholm,Sweden,15.8.1982,Stockholm,Sweden,Sweden,
1956,Medicine,The Nobel Prize in Physiology or Medicine 1956,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",1.מרץ,360,Individual,André Frédéric Cournand,1895-09-24,Paris,France,France,Male,"Columbia University Division, Cardio-Pulmonary Laboratory, Bellevue Hospital","New York, NY",United States of America,19.2.1988,"Great Barrington, MA",United States of America,United States of America,
1956,Medicine,The Nobel Prize in Physiology or Medicine 1956,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",1.מרץ,362,Individual,Dickinson W. Richards,1895-10-30,"Orange, NJ",United States of America,United States of America,Male,Columbia University,"New York, NY",United States of America,23.2.1973,"Lakeville, CT",United States of America,United States of America,
1956,Medicine,The Nobel Prize in Physiology or Medicine 1956,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",1.מרץ,361,Individual,Werner Forssmann,29.8.1904,Berlin,Germany,Germany,Male,Mainz University,Mainz,Federal Republic of Germany,1.6.1979,Schopfheim,West Germany (Germany),Germany,
1957,Medicine,The Nobel Prize in Physiology or Medicine 1957,"""for his discoveries relating to synthetic compounds that inhibit the action of certain body substances, and especially their action on the vascular system and the skeletal muscles""",1.ינו׳,363,Individual,Daniel Bovet,23.3.1907,Neuchâtel,Switzerland,Switzerland,Male,Istituto Superiore di Sanità (Chief Institute of Public Health),Rome,Italy,8.4.1992,Rome,Italy,Italy,
1958,Medicine,The Nobel Prize in Physiology or Medicine 1958,"""for their discovery that genes act by regulating definite chemical events""",1.אפר׳,364,Individual,George Wells Beadle,22.10.1903,"Wahoo, NE",United States of America,United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,9.6.1989,"Pomona, CA",United States of America,United States of America,
1958,Medicine,The Nobel Prize in Physiology or Medicine 1958,"""for their discovery that genes act by regulating definite chemical events""",1.אפר׳,365,Individual,Edward Lawrie Tatum,14.12.1909,"Boulder, CO",United States of America,United States of America,Male,Rockefeller Institute for Medical Research,"New York, NY",United States of America,5.11.1975,"New York, NY",United States of America,United States of America,
1958,Medicine,The Nobel Prize in Physiology or Medicine 1958,"""for his discoveries concerning genetic recombination and the organization of the genetic material of bacteria""",1.פבר׳,366,Individual,Joshua Lederberg,23.5.1925,"Montclair, NJ",United States of America,United States of America,Male,University of Wisconsin,"Madison, WI",United States of America,2.2.2008,"New York, NY",United States of America,United States of America,
1959,Medicine,The Nobel Prize in Physiology or Medicine 1959,"""for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid""",1.פבר׳,367,Individual,Severo Ochoa,24.9.1905,Luarca,Spain,Spain,Male,"New York University, College of Medicine","New York, NY",United States of America,1.11.1993,Madrid,Spain,Spain,
1959,Medicine,The Nobel Prize in Physiology or Medicine 1959,"""for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid""",1.פבר׳,368,Individual,Arthur Kornberg,3.3.1918,"Brooklyn, NY",United States of America,United States of America,Male,Stanford University,"Stanford, CA",United States of America,26.10.2007,"Stanford, CA",United States of America,United States of America,
1960,Medicine,The Nobel Prize in Physiology or Medicine 1960,"""for discovery of acquired immunological tolerance""",1.פבר׳,369,Individual,Sir Frank Macfarlane Burnet,1899-09-03,Traralgon,Australia,Australia,Male,Walter and Eliza Hall Institute for Medical Research,Melbourne,Australia,31.8.1985,Melbourne,Australia,Australia,
1960,Medicine,The Nobel Prize in Physiology or Medicine 1960,"""for discovery of acquired immunological tolerance""",1.פבר׳,370,Individual,Peter Brian Medawar,28.2.1915,Rio de Janeiro,Brazil,Brazil,Male,University College,London,United Kingdom,2.10.1987,London,United Kingdom,United Kingdom,
1961,Medicine,The Nobel Prize in Physiology or Medicine 1961,"""for his discoveries of the physical mechanism of stimulation within the cochlea""",1.ינו׳,371,Individual,Georg von Békésy,1899-06-03,Budapest,Hungary,Hungary,Male,Harvard University,"Cambridge, MA",United States of America,13.6.1972,"Honolulu, HI",United States of America,United States of America,
1962,Medicine,The Nobel Prize in Physiology or Medicine 1962,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material""",1.מרץ,373,Individual,James Dewey Watson,6.4.1928,"Chicago, IL",United States of America,United States of America,Male,Harvard University,"Cambridge, MA",United States of America,NA,NA,NA,NA,
1962,Medicine,The Nobel Prize in Physiology or Medicine 1962,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material""",1.מרץ,374,Individual,Maurice Hugh Frederick Wilkins,15.12.1916,Pongaroa,New Zealand,New Zealand,Male,London University,London,United Kingdom,5.10.2004,London,United Kingdom,United Kingdom,
1962,Medicine,The Nobel Prize in Physiology or Medicine 1962,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material""",1.מרץ,372,Individual,Francis Harry Compton Crick,8.6.1916,Northampton,United Kingdom,United Kingdom,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,28.7.2004,"San Diego, CA",United States of America,United States of America,
1963,Medicine,The Nobel Prize in Physiology or Medicine 1963,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""",1.מרץ,375,Individual,Sir John Carew Eccles,27.1.1903,Melbourne,Australia,Australia,Male,Australian National University,Canberra,Australia,2.5.1997,Contra,Switzerland,Switzerland,
1963,Medicine,The Nobel Prize in Physiology or Medicine 1963,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""",1.מרץ,376,Individual,Alan Lloyd Hodgkin,5.2.1914,Banbury,United Kingdom,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,20.12.1998,Cambridge,United Kingdom,United Kingdom,
1963,Medicine,The Nobel Prize in Physiology or Medicine 1963,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""",1.מרץ,377,Individual,Andrew Fielding Huxley,22.11.1917,Hampstead,United Kingdom,United Kingdom,Male,University College,London,United Kingdom,30.5.2012,Grantchester,United Kingdom,United Kingdom,
1964,Medicine,The Nobel Prize in Physiology or Medicine 1964,"""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism""",1.פבר׳,379,Individual,Feodor Lynen,6.4.1911,Munich,Germany,Germany,Male,Max-Planck-Institut für Zellchemie,Munich,Federal Republic of Germany,6.8.1979,Munich,Germany,Germany,
1964,Medicine,The Nobel Prize in Physiology or Medicine 1964,"""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism""",1.פבר׳,378,Individual,Konrad Bloch,21.1.1912,Neisse (Nysa),Germany (Poland),Poland,Male,Harvard University,"Cambridge, MA",United States of America,15.10.2000,"Burlington, MA",United States of America,United States of America,
1965,Medicine,The Nobel Prize in Physiology or Medicine 1965,"""for their discoveries concerning genetic control of enzyme and virus synthesis""",1.מרץ,380,Individual,François Jacob,17.6.1920,Nancy,France,France,Male,Institut Pasteur,Paris,France,19.4.2013,Paris,France,France,
1965,Medicine,The Nobel Prize in Physiology or Medicine 1965,"""for their discoveries concerning genetic control of enzyme and virus synthesis""",1.מרץ,381,Individual,André Lwoff,8.5.1902,Ainay-le-Château,France,France,Male,Institut Pasteur,Paris,France,30.9.1994,Paris,France,France,
1965,Medicine,The Nobel Prize in Physiology or Medicine 1965,"""for their discoveries concerning genetic control of enzyme and virus synthesis""",1.מרץ,382,Individual,Jacques Monod,9.2.1910,Paris,France,France,Male,Institut Pasteur,Paris,France,31.5.1976,Cannes,France,France,
1966,Medicine,The Nobel Prize in Physiology or Medicine 1966,"""for his discoveries concerning hormonal treatment of prostatic cancer""",1.פבר׳,384,Individual,Charles Brenton Huggins,22.9.1901,Halifax,Canada,Canada,Male,"University of Chicago, Ben May Laboratory for Cancer Research","Chicago, IL",United States of America,12.1.1997,"Chicago, IL",United States of America,United States of America,
1966,Medicine,The Nobel Prize in Physiology or Medicine 1966,"""for his discovery of tumour-inducing viruses""",1.פבר׳,383,Individual,Peyton Rous,1879-10-05,"Baltimore, MD",United States of America,United States of America,Male,Rockefeller University,"New York, NY",United States of America,16.2.1972,"New York, NY",United States of America,United States of America,
1967,Medicine,The Nobel Prize in Physiology or Medicine 1967,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye""",1.מרץ,385,Individual,Ragnar Granit,30.10.1900,Helsinki,Russian Empire (Finland),Finland,Male,Karolinska Institutet,Stockholm,Sweden,12.3.1991,Stockholm,Sweden,Sweden,
1967,Medicine,The Nobel Prize in Physiology or Medicine 1967,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye""",1.מרץ,386,Individual,Haldan Keffer Hartline,22.12.1903,"Bloomsburg, PA",United States of America,United States of America,Male,Rockefeller University,"New York, NY",United States of America,17.3.1983,"Fallston, MD",United States of America,United States of America,
1967,Medicine,The Nobel Prize in Physiology or Medicine 1967,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye""",1.מרץ,387,Individual,George Wald,18.11.1906,"New York, NY",United States of America,United States of America,Male,Harvard University,"Cambridge, MA",United States of America,12.4.1997,"Cambridge, MA",United States of America,United States of America,
1968,Medicine,The Nobel Prize in Physiology or Medicine 1968,"""for their interpretation of the genetic code and its function in protein synthesis""",1.מרץ,389,Individual,Har Gobind Khorana,9.1.1922,Raipur,India,India,Male,University of Wisconsin,"Madison, WI",United States of America,9.11.2011,"Concord, MA",United States of America,United States of America,
1968,Medicine,The Nobel Prize in Physiology or Medicine 1968,"""for their interpretation of the genetic code and its function in protein synthesis""",1.מרץ,388,Individual,Robert W. Holley,28.1.1922,"Urbana, IL",United States of America,United States of America,Male,Cornell University,"Ithaca, NY",United States of America,11.2.1993,"Los Gatos, CA",United States of America,United States of America,
1968,Medicine,The Nobel Prize in Physiology or Medicine 1968,"""for their interpretation of the genetic code and its function in protein synthesis""",1.מרץ,390,Individual,Marshall W. Nirenberg,10.4.1927,"New York, NY",United States of America,United States of America,Male,National Institutes of Health,"Bethesda, MD",United States of America,15.1.2010,"New York, NY",United States of America,United States of America,
1969,Medicine,The Nobel Prize in Physiology or Medicine 1969,"""for their discoveries concerning the replication mechanism and the genetic structure of viruses""",1.מרץ,391,Individual,Max Delbrück,4.9.1906,Berlin,Germany,Germany,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,9.3.1981,"Pasadena, CA",United States of America,United States of America,
1969,Medicine,The Nobel Prize in Physiology or Medicine 1969,"""for their discoveries concerning the replication mechanism and the genetic structure of viruses""",1.מרץ,393,Individual,Salvador E. Luria,13.8.1912,Torino,Italy,Italy,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America,6.2.1991,"Lexington, MA",United States of America,United States of America,
1969,Medicine,The Nobel Prize in Physiology or Medicine 1969,"""for their discoveries concerning the replication mechanism and the genetic structure of viruses""",1.מרץ,392,Individual,Alfred D. Hershey,4.12.1908,"Owosso, MI",United States of America,United States of America,Male,Carnegie Institution of Washington,"Long Island, New York, NY",United States of America,22.5.1997,"Syosset, NY",United States of America,United States of America,
1970,Medicine,The Nobel Prize in Physiology or Medicine 1970,"""for their discoveries concerning the humoral transmittors in the nerve terminals and the mechanism for their storage, release and inactivation""",1.מרץ,395,Individual,Ulf von Euler,7.2.1905,Stockholm,Sweden,Sweden,Male,Karolinska Institutet,Stockholm,Sweden,9.3.1983,Stockholm,Sweden,Sweden,
1970,Medicine,The Nobel Prize in Physiology or Medicine 1970,"""for their discoveries concerning the humoral transmittors in the nerve terminals and the mechanism for their storage, release and inactivation""",1.מרץ,394,Individual,Sir Bernard Katz,26.3.1911,Leipzig,Germany,Germany,Male,University College,London,United Kingdom,20.4.2003,London,United Kingdom,United Kingdom,
1970,Medicine,The Nobel Prize in Physiology or Medicine 1970,"""for their discoveries concerning the humoral transmittors in the nerve terminals and the mechanism for their storage, release and inactivation""",1.מרץ,396,Individual,Julius Axelrod,30.5.1912,"New York, NY",United States of America,United States of America,Male,National Institutes of Health,"Bethesda, MD",United States of America,29.12.2004,"Rockville, MD",United States of America,United States of America,
1971,Medicine,The Nobel Prize in Physiology or Medicine 1971,"""for his discoveries concerning the mechanisms of the action of hormones""",1.ינו׳,397,Individual,"Earl W. Sutherland, Jr.",19.11.1915,"Burlingame, KS",United States of America,United States of America,Male,Vanderbilt University,"Nashville, TN",United States of America,9.3.1974,"Miami, FL",United States of America,United States of America,
1972,Medicine,The Nobel Prize in Physiology or Medicine 1972,"""for their discoveries concerning the chemical structure of antibodies""",1.פבר׳,399,Individual,Rodney R. Porter,8.10.1917,Newton-le-Willows,United Kingdom,United Kingdom,Male,University of Oxford,Oxford,United Kingdom,6.9.1985,Winchester,United Kingdom,United Kingdom,
1972,Medicine,The Nobel Prize in Physiology or Medicine 1972,"""for their discoveries concerning the chemical structure of antibodies""",1.פבר׳,398,Individual,Gerald M. Edelman,1.7.1929,"New York, NY",United States of America,United States of America,Male,Rockefeller University,"New York, NY",United States of America,17.5.2014,"La Jolla, CA",United States of America,United States of America,
1973,Medicine,The Nobel Prize in Physiology or Medicine 1973,"""for their discoveries concerning organization and elicitation of individual and social behaviour patterns""",1.מרץ,401,Individual,Konrad Lorenz,7.11.1903,Vienna,Austria,Austria,Male,"Konrad-Lorenz-Institut der Österreichischen Akademie der Wissen­schaften, Forschungsstelle für Ethologie",Altenberg; Grünau im Almtal,Austria,27.2.1989,Vienna,Austria,Austria,
1973,Medicine,The Nobel Prize in Physiology or Medicine 1973,"""for their discoveries concerning organization and elicitation of individual and social behaviour patterns""",1.מרץ,402,Individual,Nikolaas Tinbergen,15.4.1907,the Hague,Netherlands,Netherlands,Male,University of Oxford,Oxford,United Kingdom,21.12.1988,Oxford,United Kingdom,United Kingdom,
1973,Medicine,The Nobel Prize in Physiology or Medicine 1973,"""for their discoveries concerning organization and elicitation of individual and social behaviour patterns""",1.מרץ,400,Individual,Karl von Frisch,1886-11-20,Vienna,Austria,Austria,Male,Zoologisches Institut der Universität München,Munich,Federal Republic of Germany,12.6.1982,Munich,West Germany (Germany),Germany,
1974,Medicine,The Nobel Prize in Physiology or Medicine 1974,"""for their discoveries concerning the structural and functional organization of the cell""",1.מרץ,403,Individual,Albert Claude,1898-08-24,Longlier,Belgium,Belgium,Male,Université Catholique de Louvain,Louvain,Belgium,22.5.1983,Brussels,Belgium,Belgium,
1974,Medicine,The Nobel Prize in Physiology or Medicine 1974,"""for their discoveries concerning the structural and functional organization of the cell""",1.מרץ,404,Individual,Christian de Duve,2.10.1917,Thames Ditton,United Kingdom,United Kingdom,Male,Rockefeller University,"New York, NY",United States of America,4.5.2013,Nethen,Belgium,Belgium,
1974,Medicine,The Nobel Prize in Physiology or Medicine 1974,"""for their discoveries concerning the structural and functional organization of the cell""",1.מרץ,405,Individual,George E. Palade,19.11.1912,Iasi,Romania,Romania,Male,"Yale University, School of Medicine","New Haven, CT",United States of America,7.10.2008,"Del Mar, CA",United States of America,United States of America,
1975,Medicine,The Nobel Prize in Physiology or Medicine 1975,"""for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell""",1.מרץ,406,Individual,David Baltimore,7.3.1938,"New York, NY",United States of America,United States of America,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America,NA,NA,NA,NA,
1975,Medicine,The Nobel Prize in Physiology or Medicine 1975,"""for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell""",1.מרץ,407,Individual,Renato Dulbecco,22.2.1914,Catanzaro,Italy,Italy,Male,Imperial Cancer Research Fund Laboratory,London,United Kingdom,19.2.2012,"La Jolla, CA",United States of America,United States of America,
1975,Medicine,The Nobel Prize in Physiology or Medicine 1975,"""for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell""",1.מרץ,408,Individual,Howard Martin Temin,10.12.1934,"Philadelphia, PA",United States of America,United States of America,Male,University of Wisconsin,"Madison, WI",United States of America,9.2.1994,"Madison, WI",United States of America,United States of America,
1976,Medicine,The Nobel Prize in Physiology or Medicine 1976,"""for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases""",1.פבר׳,410,Individual,D. Carleton Gajdusek,9.9.1923,"Yonkers, NY",United States of America,United States of America,Male,National Institutes of Health,"Bethesda, MD",United States of America,12.12.2008,Tromsø,Norway,Norway,
1976,Medicine,The Nobel Prize in Physiology or Medicine 1976,"""for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases""",1.פבר׳,409,Individual,Baruch S. Blumberg,28.7.1925,"New York, NY",United States of America,United States of America,Male,The Institute for Cancer Research,"Philadelphia, PA",United States of America,5.4.2011,"Moffett Field, CA",United States of America,United States of America,
1977,Medicine,The Nobel Prize in Physiology or Medicine 1977,"""for their discoveries concerning the peptide hormone production of the brain""",1.אפר׳,411,Individual,Roger Guillemin,11.1.1924,Dijon,France,France,Male,The Salk Institute,"San Diego, CA",United States of America,NA,NA,NA,NA,
